Country,SG TOTAL,SG TEE TO GREEN,SG OFF THE TEE,SG APPROACH,SG AROUND THE GREEN,SG PUTTING,Name,Driving Distance,Accuracy,,Country,Name,Distance,,Country,Name,Accuracy
UNA,-0.32,0.04,0.25,0,-0.21,-0.4,nataliya guseva,271.48,0.5843,,JPN,mao saigo,256.18,,JPN,akie iwai,0.6653
SLO,-0.34,-0.12,0.27,0,-0.38,-0.3,ana belac,272.96,0.6563,,USA,jenny coleman,256.17,,KOR,sung hyun park,0.6644
THA,-0.35,-0.03,-0.4,0.33,0.04,-0.18,arpichaya yubol,239.44,0.7641,,USA,kristen gillman,255.89,,AUS,hira naveed,0.6643
ENG,-0.37,0.17,-0.49,0.12,0.54,-0.12,bronte law,241.37,0.7008,,THA,pajaree anannarukarn,255.68,,FRA,perrine delacour,0.6616
SWE,-0.39,-0.23,0.59,-0.21,-0.61,-0.12,maja stark,262.88,0.7,,THA,pornanong phatlum,255.57,,CHN,weiwei zhang,0.6612
KOR,-0.41,-0.5,-0.42,-0.15,0.07,-0.09,ilhee lee,241.03,0.7119,,AUS,karis davidson,255.55,,CAN,alena sharp,0.6611
KOR,-0.48,0.27,0.41,0.51,-0.65,-0.41,kumkang park,261.5,0.6532,,KOR,jiwon jeon,255.49,,ITA,benedetta moresco,0.6605
SWE,-0.5,-0.49,0.1,-0.57,-0.02,-0.26,frida kinhult,271.59,0.6255,,SUI,morgane metraux,255.31,,FRA,adela cernousek,0.6594
JPN,-0.5,-0.43,-0.13,-0.17,-0.13,-0.08,hinako shibuno,256.63,0.7109,,USA,gigi stoll,254.59,,KOR,hyo joon jang,0.6587
KOR,-0.51,-2.67,-1.3,-1.46,0.09,0.85,haeji kang,248.45,0.5866,,NZL,fiona xu,254.53,,CHN,jing yan,0.6584
SWE,-0.53,-1.89,-0.43,-0.93,-0.53,1.18,anna nordqvist,245.5,0.7351,,KOR,jenny shin,254.49,,TPE,ssu-chia cheng,0.6582
USA,-0.56,0.14,-0.42,0.3,0.27,-0.74,gigi stoll,254.59,0.6469,,CHN,yahui zhang,254.42,,SUI,morgane metraux,0.6581
KOR,-0.63,-0.49,-0.41,0.02,-0.11,-0.2,jeongeun lee6,245.96,0.641,,CHN,miranda wang,254.13,,USA,ryann o'toole,0.6574
NOR,-0.63,-0.95,-0.19,-1.15,0.39,0.39,celine borge,261,0.6667,,USA,gurleen kaur,254.12,,USA,angel yin,0.6569
CHN,-0.64,0.6,0.04,0.68,-0.13,-0.97,yu liu,262.42,0.689,,KOR,jeongeun lee5,253.46,,SLO,ana belac,0.6563
AUS,-0.64,-1.07,-0.12,-0.6,-0.35,0.21,hira naveed,259.59,0.6643,,GER,olivia cowan,253.24,,KOR,mi hyang lee,0.6542
GER,-0.67,-0.63,-0.33,-0.2,-0.1,-0.1,caroline masson,250.38,0.7091,,USA,lauren coughlin,252.88,,CHN,yan liu,0.6541
USA,-0.67,-0.39,0.46,-0.46,-0.4,-0.23,amanda doherty,269.92,0.6837,,KOR,hyo joon jang,252.48,,KOR,kumkang park,0.6532
ENG,-0.67,-0.35,0.33,-0.39,-0.28,-0.45,caley mcginty,270.03,0.7298,,ESP,azahara munoz,252.33,,ENG,jodi ewart shadoff,0.6528
USA,-0.69,-1.25,-0.33,-0.06,-0.85,0.55,ryann o'toole,267.07,0.6574,,CHN,jing yan,252.09,,USA,yealimi noh,0.6524
USA,-0.69,-0.65,-0.43,-0.15,-0.06,-0.03,caroline inglis,250.55,0.7568,,THA,wichanee meechai,251.61,,ENG,georgia hall,0.6523
USA,-0.7,0.18,-0.53,0.28,0.42,-0.68,mariel galdiano,248.48,0.6803,,GER,aline krauter,251.36,,PHI,bianca pagdanganan,0.6492
THA,-0.76,0.29,-0.04,0.51,-0.18,-0.97,pornanong phatlum,255.57,0.7055,,JPN,ayaka furue,251.32,,TPE,yani tseng,0.6486
SUI,-0.76,-1.19,-0.31,-0.31,-0.57,0.31,morgane metraux,255.31,0.6581,,KOR,narin an,250.98,,USA,gigi stoll,0.6469
CAN,-0.77,-1.24,-0.31,-0.68,-0.26,0.29,alena sharp,264.92,0.6611,,SUI,albane valenzuela,250.92,,SWE,ingrid lindblad,0.6464
USA,-0.77,-0.61,0.21,-0.34,-0.48,0.12,madison young,276.28,0.6408,,USA,caroline inglis,250.55,,AUS,gabriela ruffels,0.6461
THA,-0.79,-0.26,-0.44,0.09,0.09,-0.46,jasmine suwannapura,248.2,0.7806,,KOR,in gee chun,250.54,,JPN,minami katsu,0.6453
MEX,-0.87,-0.61,0.1,-0.8,0.09,-0.38,maria fassi,#N/A,#N/A,,GER,caroline masson,250.38,,KOR,sei young kim,0.6452
THA,-0.87,-1.13,-0.43,-0.51,-0.19,0.18,wichanee meechai,251.61,0.6959,,USA,lauren morris,250.35,,JPN,saki baba,0.6426
ENG,-0.9,-0.63,-0.43,-0.07,-0.14,-0.35,jodi ewart shadoff,262.79,0.6528,,JPN,yuri yoshida,249.71,,AUS,sarah kemp,0.6414
TPE,-0.9,-0.71,-0.42,-0.53,0.23,-0.46,heather lin,#N/A,#N/A,,USA,rose zhang,249.6,,KOR,jeongeun lee6,0.641
CHN,-0.96,-0.86,0.2,-0.63,-0.43,-0.29,xiaowen yin,267.13,0.6696,,RSA,ashleigh buhai,249.49,,CAN,savannah grewal,0.641
USA,-1.01,-1.07,-0.27,-0.36,-0.44,0.02,kate smith-stroh,263.05,0.6333,,CHN,mary liu,249.24,,USA,madison young,0.6408
AUS,-1.07,-1.07,-0.71,-0.77,0.4,-0.16,sarah kemp,248.55,0.6414,,AUS,robyn choi,248.95,,USA,lauren hartlage,0.6343
USA,-1.07,-1.77,-0.79,-0.2,-0.78,0.64,stacy lewis,242.09,0.754,,SCO,gemma dryburgh,248.92,,USA,kate smith-stroh,0.6333
USA,-1.09,-1.53,-0.38,-1.08,-0.07,0.08,jessica porvasnik,257.23,0.6259,,USA,allisen corpuz,248.83,,USA,brooke matthews,0.633
GER,-1.1,-1.22,-0.12,-1.01,-0.09,0.12,sophia popov,257.52,0.6906,,AUS,sarah kemp,248.55,,THA,patty tavatanakit,0.6323
CAN,-1.1,0.11,-0.3,-0.26,0.67,-0.68,maude-aimee leblanc,279.24,0.5684,,USA,mariel galdiano,248.48,,USA,auston kim,0.631
USA,-1.14,-0.66,0.55,-0.42,-0.79,-0.8,bailey tardy,278.72,0.6208,,KOR,haeji kang,248.45,,AUS,cassie porter,0.6285
USA,-1.24,-0.41,-0.3,-0.22,0.11,-0.74,lauren hartlage,265.89,0.6343,,KOR,eun-hee ji,248.21,,SWE,madelene sagstrom,0.627
GER,-1.27,-0.09,0.42,-0.32,-0.19,-1.29,polly mack,289.17,0.5822,,THA,jasmine suwannapura,248.2,,USA,jessica porvasnik,0.6259
THA,-1.28,-1.14,-1.2,0.09,-0.03,-0.24,moriya jutanugarn,243.81,0.7245,,KOR,hyo joo kim,247.33,,SWE,frida kinhult,0.6255
TPE,-1.28,-2.05,-0.85,-1.64,0.44,0.66,ssu-chia cheng,256.64,0.6582,,NZL,lydia ko,246.63,,ESP,fatima fernandez cano,0.6223
USA,-1.28,-1.03,0.09,-0.97,-0.15,-0.38,gurleen kaur,254.12,0.76,,USA,andrea lee,246.62,,USA,bailey tardy,0.6208
PHI,-1.32,-1.11,0.69,-1.09,-0.7,-0.37,bianca pagdanganan,277.9,0.6492,,KOR,jeongeun lee6,245.96,,USA,jenny coleman,0.6205
USA,-1.4,-2.16,-0.52,-1.11,-0.53,0.94,lauren morris,250.35,0.6978,,SWE,anna nordqvist,245.5,,SWE,dani holmqvist,0.6151
KOR,-1.44,-2.19,-0.07,-1.37,-0.76,0.46,sung hyun park,262.88,0.6644,,JPN,miyu yamashita,245.22,,DEN,nanna koerstz madsen,0.6092
JPN,-1.44,-2.18,-0.64,-1.41,-0.13,0.73,yuka saso,264,0.5789,,THA,moriya jutanugarn,243.81,,ESP,julia lopez ramirez,0.6086
JPN,-1.47,-2,-1.38,-0.67,0.04,0.55,yuna nishimura,234.09,0.7511,,IND,aditi ashok,243.74,,USA,alexa pano,0.5975
KOR,-1.54,-0.85,-0.68,0.1,-0.26,-0.88,hyo joon jang,252.48,0.6587,,CHN,muni he,242.33,,USA,elizabeth szokol,0.5931
USA,-1.6,-2.67,-1.41,-1.14,-0.12,1.08,lilia vu,242.22,0.6851,,USA,lilia vu,242.22,,USA,brittany altomare,0.5912
CAN,-1.62,-0.82,-0.01,-0.62,-0.18,-1.05,savannah grewal,269.18,0.641,,USA,stacy lewis,242.09,,KOR,haeji kang,0.5866
SWE,-1.65,-1.76,-0.23,-1.33,-0.2,0.15,linnea strom,257.76,0.6932,,ENG,bronte law,241.37,,FRA,pauline roussin-bouchard,0.5852
USA,-1.7,-2.53,-0.79,-1.37,-0.36,0.82,cheyenne knight,240.46,0.7914,,KOR,ilhee lee,241.03,,UNA,nataliya guseva,0.5843
SWE,-1.73,-1.27,-0.96,-0.41,0.1,-0.59,dani holmqvist,258.5,0.6151,,USA,cheyenne knight,240.46,,GER,polly mack,0.5822
ESP,-1.85,-0.82,-0.24,-0.41,-0.16,-1.17,fatima fernandez cano,274.38,0.6223,,IRL,leona maguire,239.99,,JPN,yuka saso,0.5789
FRA,-1.93,-1.03,0.15,-0.59,-0.59,-0.93,adela cernousek,274.23,0.6594,,USA,danielle kang,239.68,,USA,danielle kang,0.5719
USA,-2.08,0.15,0.63,-0.77,0.3,-1.82,alexa pano,268.46,0.5975,,USA,brittany altomare,239.53,,CAN,maude-aimee leblanc,0.5684
USA,-2.2,-1.05,0.18,-0.54,-0.68,-0.45,daniela iacobelli,#N/A,#N/A,,THA,arpichaya yubol,239.44,,KOR,eun-hee ji,0.5324
USA,-2.29,-2.2,-1.78,-0.54,0.12,0.06,brittany altomare,239.53,0.5912,,JPN,yuna nishimura,234.09,,NZL,fiona xu,0.532
USA,-2.34,-2.13,-1.86,-0.38,0.11,-0.22,danielle kang,239.68,0.5719,,,,,,,,
KOR,-2.67,-2.95,-1.7,-1.02,-0.23,0.2,eun-hee ji,248.21,0.5324,,,,,,,,
TPE,-2.86,-0.73,0.28,-0.23,-0.78,-0.59,yani tseng,258.97,0.6486,,,,,,,,
USA,-3.65,-2.44,-0.7,-0.7,-1.04,-1.39,jenny coleman,256.17,0.6205,,,,,,,,
NZL,-3.68,-4.58,-1.31,-2.92,-0.35,0.98,fiona xu,254.53,0.532,,,,,,,,
